,yield
2013-11-24 00:00:00,3.37E-05
2013-11-24 02:00:00,0.743392398
2013-11-24 04:00:00,9.29522E-05
2013-11-24 06:00:00,0.000340506
2013-11-24 08:00:00,0.001090464
2013-11-24 10:00:00,0.090108671
2013-11-24 12:00:00,0.002017377
2013-11-24 14:00:00,0.00053515
2013-11-24 16:00:00,0.041472531
2013-11-24 18:00:00,0.027725559
2013-11-24 20:00:00,0.001824671
2013-11-24 22:00:00,0.172578298
2013-11-25 00:00:00,0.182261047
2013-11-25 02:00:00,0.102242602
2013-11-25 04:00:00,0.711601836
2013-11-25 06:00:00,0.00033205
2013-11-25 08:00:00,0.018583839
2013-11-25 10:00:00,0.161137646
2013-11-25 12:00:00,0.014954021
2013-11-25 14:00:00,0.513099479
2013-11-25 16:00:00,0.039610961
2013-11-25 18:00:00,0.044796672
2013-11-25 20:00:00,0.001981615
2013-11-25 22:00:00,0.063024997
2013-11-26 00:00:00,0.257417209
2013-11-26 02:00:00,0.160794887
2013-11-26 04:00:00,0.024379005
2013-11-26 06:00:00,0.281365383
2013-11-26 08:00:00,0.000433595
2013-11-26 10:00:00,0.003492176
2013-11-26 12:00:00,0.00274012
2013-11-26 14:00:00,0.027031167
2013-11-26 16:00:00,0.219000926
2013-11-26 18:00:00,0.055194479
2013-11-26 20:00:00,0.53357515
2013-11-26 22:00:00,0.006734379
2013-11-27 00:00:00,0.000158237
2013-11-27 02:00:00,0.142066308
2013-11-27 04:00:00,0.000430611
2013-11-27 06:00:00,0.455779435
2013-11-27 08:00:00,0.009466688
2013-11-27 10:00:00,0.003245921
2013-11-27 12:00:00,0.021654502
2013-11-27 14:00:00,0.000801061
2013-11-27 16:00:00,0.000347667
2013-11-27 18:00:00,0.263391226
2013-11-27 20:00:00,0.000163972
2013-11-27 22:00:00,0.001577897
2013-12-14 00:00:00,7.67E-07
2013-12-14 02:00:00,1.36691E-06
2013-12-14 04:00:00,1.05776E-06
2013-12-14 06:00:00,1.31116E-06
2013-12-14 08:00:00,5.43188E-06
2013-12-14 10:00:00,5.22693E-06
2013-12-14 12:00:00,2.85E-05
2013-12-14 14:00:00,1.06E-06
2013-12-14 16:00:00,1.29E-06
2013-12-14 18:00:00,3.55765E-06
2013-12-14 20:00:00,1.54E-06
2013-12-14 22:00:00,0.052613859
2013-12-15 00:00:00,0.001006559
2013-12-15 02:00:00,0.126671894
2013-12-15 04:00:00,0.029494268
2013-12-15 06:00:00,0.031694494
2013-12-15 08:00:00,0.010082489
2013-12-15 10:00:00,0.00068496
2013-12-15 12:00:00,0.000637601
2013-12-15 14:00:00,0.000631248
2013-12-15 16:00:00,7.62141E-06
2013-12-15 18:00:00,3.61141E-06
2013-12-15 20:00:00,0.00046798
2013-12-15 22:00:00,0.000309639
2013-12-16 00:00:00,0.017220761
2013-12-16 02:00:00,0.1402748
2013-12-16 04:00:00,1.347483333
2013-12-16 06:00:00,1.647738273
2013-12-16 08:00:00,0.080453132
2013-12-16 10:00:00,8.249379049
2013-12-16 12:00:00,9.567822592
2013-12-16 14:00:00,5.682872292
2013-12-16 16:00:00,7.76192888
2013-12-16 18:00:00,1.30807277
2013-12-16 20:00:00,0.718947057
2013-12-16 22:00:00,0.622901306
2013-12-17 00:00:00,0.610587677
2013-12-17 02:00:00,0.715371515
2013-12-17 04:00:00,0.456475428
