Local time in Guelmim,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,,Tsi,Posi,Psi,Pasi,Usi,Ddsi,Ffsi,Nsi,Wwsi,W1si,W2si,Tnsi,Txsi,Clsi,Nhsi,His,Cmsi,Chsi,Vvsi,Tdsi,RRRsi,tRsi,Esi,Tgsi,E'si,ssssi
11/23/13 6:00,14,733.8,760.5,94,Wind blowing from the north-northeast,1,,,,Broken clouds (60-90%) 480 m,10.0 and more,13,,17.1,756,761.2,,96,Wind blowing from the north-northeast,2,100%, ,,,16.4,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6,16.5,1,24,Surface of ground wet (standing water in small or large pools on surface).,9,,
11/23/13 7:00,15,734.5,761.2,94,Wind blowing from the north-northeast,2,,,,Broken clouds (60-90%) 480 m,10.0 and more,14,,17.1,756.6,761.8,0.6,93,Wind blowing from the north-east,3,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,3,15.9,,,,,,
11/23/13 8:00,17,734.7,761.2,94,Wind blowing from the north-northwest,4,,,,Broken clouds (60-90%) 480 m,10.0 and more,16,,18.5,757,762.2,0.4,90,Wind blowing from the north-east,3,100%,Clouds generally forming or developing. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5,16.8,0.2,6,,,,
11/23/13 9:00,18,734.8,761.2,88,Wind blowing from the north-west,4,,,,Broken clouds (60-90%) 480 m,10.0 and more,16,,19.6,756.9,762,-0.1,86,Wind blowing from the south-southwest,1,70 - 80%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,17.2,,,,,,
11/23/13 10:00,19,735.6,762,78,Wind blowing from the north,3,,,,Broken clouds (60-90%) 480 m,10.0 and more,15,,18.3,756.8,762,-0.1,93,Wind blowing from the south-west,2,"90  or more, but not 100%", ,,,,20.4,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,6,17.1,0.2,12,,,,
11/23/13 11:00,20,735.7,762,69,Wind blowing from the north-east,6,,,,Broken clouds (60-90%) 480 m,10.0 and more,14,,18.1,755.4,760.6,,95,Wind blowing from the south-southwest,1,100%, ,,,17.9,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5,17.2,0.2,24,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
11/23/13 12:00,20,735,761.2,69,Wind blowing from the north,8,,,,Broken clouds (60-90%) 480 m,10.0 and more,14,,17.8,756,761.2,0.6,97,"Calm, no wind",0,100%,Rain (not freezing) not falling as shower(s). ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6,17.3,,,,,,
11/23/13 13:00,20,735,761.2,69,Wind blowing from the north-northeast,5,,,,Broken clouds (60-90%) 480 m,10.0 and more,14,,19.4,755.6,760.7,-0.4,96,Wind blowing from the west-northwest,2,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",200-300,,,8,18.7,2,6,,,,
11/23/13 14:00,20,734.3,760.5,69,Wind blowing from the north,8,,,,Broken clouds (60-90%) 480 m,10.0 and more,14,,18.8,754.4,759.5,-1.2,93,Wind blowing from the north-northeast,2,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,8,17.6,,,,,,
11/23/13 15:00,20,733.5,759.7,64,Wind blowing from the north,6,,,,Broken clouds (60-90%) 480 m,10.0 and more,13,,18.7,754.4,759.5,0,93,Wind blowing from the west-southwest,1,50%,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,20,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,17.5,2,12,,,,
