Local time in Sidi Ifni,T,Po,P,Pa,U,DD,Ff,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
2013-11-23 06:00:00,17.1,756.0,761.2,,96.0,Wind blowing from the north-northeast,2.0,100%, ,,,16.4,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,6.0,16.5,1.0,24.0,Surface of ground wet (standing water in small or large pools on surface).,9.0,,
2013-11-23 09:00:00,17.1,756.6,761.8,0.6,93.0,Wind blowing from the north-east,3.0,100%,Mist. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,3.0,15.9,,,,,,
2013-11-23 12:00:00,18.5,757.0,762.2,0.4,90.0,Wind blowing from the north-east,3.0,100%,Clouds generally forming or developing. ,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,300-600,,,5.0,16.8,0.2,6.0,,,,
2013-11-23 15:00:00,19.6,756.9,762.0,-0.1,86.0,Wind blowing from the south-southwest,1.0,70 - 80%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,17.2,,,,,,
2013-11-23 18:00:00,18.3,756.8,762.0,-0.1,93.0,Wind blowing from the south-west,2.0,"90  or more, but not 100%", ,,,,20.4,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,6.0,17.1,0.2,12.0,,,,
2013-11-24 06:00:00,18.1,755.4,760.6,,95.0,Wind blowing from the south-southwest,1.0,100%, ,,,17.9,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,5.0,17.2,0.2,24.0,"Dry (without cracks, no appreciable amount of dust or loose sand)",12.0,,
2013-11-24 09:00:00,17.8,756.0,761.2,0.6,97.0,"Calm, no wind",0.0,100%,Rain (not freezing) not falling as shower(s). ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%,200-300,,,6.0,17.3,,,,,,
2013-11-24 12:00:00,19.4,755.6,760.7,-0.4,96.0,Wind blowing from the west-northwest,2.0,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",200-300,,,8.0,18.7,2.0,6.0,,,,
2013-11-24 15:00:00,18.8,754.4,759.5,-1.2,93.0,Wind blowing from the north-northeast,2.0,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,8.0,17.6,,,,,,
2013-11-24 18:00:00,18.7,754.4,759.5,0.0,93.0,Wind blowing from the west-southwest,1.0,50%,Clouds generally forming or developing. ,Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,20.0,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,17.5,2.0,12.0,,,,
2013-11-25 06:00:00,16.8,753.3,758.5,,92.0,Wind blowing from the north-northeast,5.0,"90  or more, but not 100%", ,,,16.7,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,6.0,15.4,3.0,24.0,Surface of ground moist.,15.0,,
2013-11-25 09:00:00,16.3,754.2,759.4,0.9,81.0,Wind blowing from the north-northeast,4.0,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,13.0,,,,,,
2013-11-25 12:00:00,17.0,754.1,759.3,-0.1,78.0,Wind blowing from the north-northwest,3.0,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,13.2,,,,,,
2013-11-25 15:00:00,18.1,753.4,758.5,-0.7,78.0,Wind blowing from the north-northwest,3.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,14.1,,,,,,
2013-11-25 18:00:00,16.5,753.4,758.6,0.0,82.0,Wind blowing from the west-southwest,1.0,40%, ,,,,18.3,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,13.3,,,,,,
2013-11-26 06:00:00,14.0,755.1,760.3,,90.0,Wind blowing from the east-northeast,2.0,40%, ,,,13.8,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,12.3,,,Surface of ground moist.,10.0,,
2013-11-26 09:00:00,15.5,756.2,761.4,1.1,81.0,Wind blowing from the east,2.0,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,12.2,,,,,,
2013-11-26 12:00:00,18.0,757.0,762.2,0.8,83.0,Wind blowing from the west,2.0,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,15.0,,,,,,
2013-11-26 15:00:00,18.8,756.3,761.5,-0.7,78.0,Wind blowing from the north-northeast,3.0,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,14.8,,,,,,
2013-11-26 18:00:00,17.0,756.5,761.7,0.2,79.0,Wind blowing from the north-east,2.0,50%, ,,,,18.6,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,13.4,,,,,,
2013-11-27 06:00:00,17.6,756.4,761.6,,32.0,Wind blowing from the south-east,6.0,no clouds, ,,,15.9,,,,,,,6.0,0.8,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12.0,,
2013-11-27 09:00:00,17.8,756.7,761.9,0.3,29.0,Wind blowing from the south-east,6.0,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,-0.6,,,,,,
2013-11-27 12:00:00,21.0,757.3,762.4,0.6,23.0,Wind blowing from the south-east,6.0,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,-0.9,,,,,,
2013-11-27 15:00:00,20.8,756.1,761.2,-1.2,51.0,Wind blowing from the north-northwest,5.0,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,10.3,,,,,,
