,yield
2013-11-24 00:00:00,0.00372303146810936
2013-11-24 02:00:00,1.1168456374359
2013-11-24 04:00:00,0.00466623156903329
2013-11-24 06:00:00,0.00541792670054702
2013-11-24 08:00:00,0.00324681874200375
2013-11-24 10:00:00,0.12880131640176
2013-11-24 12:00:00,0.00121353970336723
2013-11-24 14:00:00,0.00177267381576839
2013-11-24 16:00:00,0.062158269199906
2013-11-24 18:00:00,0.0348794796255691
2013-11-24 20:00:00,0.00220766255843046
2013-11-24 22:00:00,0.240058564434276
2013-11-25 00:00:00,0.270475995245136
2013-11-25 02:00:00,0.153464483957379
2013-11-25 04:00:00,0.999976960901215
2013-11-25 06:00:00,0
2013-11-25 08:00:00,0.0198274064420897
2013-11-25 10:00:00,0.222720128402499
2013-11-25 12:00:00,0.0181786771084322
2013-11-25 14:00:00,0.725062544239955
2013-11-25 16:00:00,0.050559006469168
2013-11-25 18:00:00,0.0647843301631311
2013-11-25 20:00:00,0.00270648578959553
2013-11-25 22:00:00,0.0885524982010337
2013-11-26 00:00:00,0.42837561196309
2013-11-26 02:00:00,0.225176097599018
2013-11-26 04:00:00,0.03839095023847
2013-11-26 06:00:00,0.400815068302643
2013-11-26 08:00:00,0
2013-11-26 10:00:00,0.00115357646245464
2013-11-26 12:00:00,0.00131711270815264
2013-11-26 14:00:00,0.0412211018361564
2013-11-26 16:00:00,0.30563549284733
2013-11-26 18:00:00,0.0804023997675151
2013-11-26 20:00:00,0.764838386684945
2013-11-26 22:00:00,0.00839569985350332
2013-11-27 00:00:00,0
2013-11-27 02:00:00,0.194961205878595
2013-11-27 04:00:00,0.00178491371319671
2013-11-27 06:00:00,0.692792427226352
2013-11-27 08:00:00,0.0202507604027093
2013-11-27 10:00:00,0.0201589782396583
2013-11-27 12:00:00,0.0264277847754299
2013-11-27 14:00:00,0
2013-11-27 16:00:00,0
2013-11-27 18:00:00,0.38492279956281
2013-11-27 20:00:00,0
2013-11-27 22:00:00,0.00465479495782291
2013-12-14 00:00:00,0
2013-12-14 02:00:00,0
2013-12-14 04:00:00,0
2013-12-14 06:00:00,0
2013-12-14 08:00:00,0
2013-12-14 10:00:00,0
2013-12-14 12:00:00,0
2013-12-14 14:00:00,0
2013-12-14 16:00:00,0
2013-12-14 18:00:00,0
2013-12-14 20:00:00,0
2013-12-14 22:00:00,0.0680017156299775
2013-12-15 00:00:00,0.00120937236022699
2013-12-15 02:00:00,0.160019829141573
2013-12-15 04:00:00,0.0363765321417135
2013-12-15 06:00:00,0.0408923216853122
2013-12-15 08:00:00,0.0136297596797736
2013-12-15 10:00:00,0
2013-12-15 12:00:00,0
2013-12-15 14:00:00,0
2013-12-15 16:00:00,0
2013-12-15 18:00:00,0
2013-12-15 20:00:00,0
2013-12-15 22:00:00,0
2013-12-16 00:00:00,0.0255930221364676
2013-12-16 02:00:00,0.14588850062484
2013-12-16 04:00:00,1.39221273873614
2013-12-16 06:00:00,1.74865868946426
2013-12-16 08:00:00,0.0610015710710485
2013-12-16 10:00:00,9.3026237735413
2013-12-16 12:00:00,11.2153316701551
2013-12-16 14:00:00,6.41822825014561
2013-12-16 16:00:00,8.64656432469505
2013-12-16 18:00:00,1.24190520228995
2013-12-16 20:00:00,0.543205557940826
2013-12-16 22:00:00,0.543751653960904
2013-12-17 00:00:00,0.571229506526318
2013-12-17 02:00:00,0.793986936242736
2013-12-17 04:00:00,0.468211033366755
2013-12-17 06:00:00,0.703862889849553
2013-12-17 08:00:00,0.990842320534293
2013-12-17 10:00:00,0
2013-12-17 12:00:00,0
2013-12-17 14:00:00,0
2013-12-17 16:00:00,0.22489751755355
2013-12-17 18:00:00,1.2936575544868
2013-12-17 20:00:00,1.07456477074193
2013-12-17 22:00:00,1.43544173387935
2014-01-03 00:00:00,0
2014-01-03 02:00:00,0
2014-01-03 04:00:00,0
2014-01-03 06:00:00,0
2014-01-03 08:00:00,0
2014-01-03 10:00:00,0
2014-01-03 12:00:00,0
2014-01-03 14:00:00,0
2014-01-03 16:00:00,0
2014-01-03 18:00:00,0
2014-01-03 20:00:00,0
2014-01-03 22:00:00,0
2014-01-04 00:00:00,0
2014-01-04 02:00:00,0
2014-01-04 04:00:00,0
2014-01-04 06:00:00,0
2014-01-04 08:00:00,0
2014-01-04 10:00:00,0
2014-01-04 12:00:00,0
2014-01-04 14:00:00,0
2014-01-04 16:00:00,2.46294896518905
2014-01-04 18:00:00,10.4478997228367
2014-01-04 20:00:00,3.05054905567624
2014-01-04 22:00:00,0
2014-01-05 00:00:00,0.0389607109436856
2014-01-05 02:00:00,0
2014-01-05 04:00:00,0
2014-01-05 06:00:00,0.00114029591604805
2014-01-05 08:00:00,0
2014-01-05 10:00:00,0
2014-01-05 12:00:00,0.00358927453444776
2014-01-05 14:00:00,0
2014-01-05 16:00:00,0
2014-01-05 18:00:00,0
2014-01-05 20:00:00,0
2014-01-05 22:00:00,0
2014-01-06 00:00:00,0
2014-01-06 02:00:00,0
2014-01-06 04:00:00,0
2014-01-06 06:00:00,0
2014-01-06 08:00:00,0
2014-01-06 10:00:00,0
2014-01-06 12:00:00,0
2014-01-06 14:00:00,0
2014-01-06 16:00:00,0
2014-01-06 18:00:00,0
