,yield
2013-11-24 00:00:00,0.000819686
2013-11-24 02:00:00,2.205733944
2013-11-24 04:00:00,0.001165617
2013-11-24 06:00:00,0.001967014
2013-11-24 08:00:00,0.00152664
2013-11-24 10:00:00,0.260049983
2013-11-24 12:00:00,0.000995712
2013-11-24 14:00:00,0.000979525
2013-11-24 16:00:00,0.122892022
2013-11-24 18:00:00,0.080810852
2013-11-24 20:00:00,0.005151213
2013-11-24 22:00:00,0.508205014
2013-11-25 00:00:00,0.540090889
2013-11-25 02:00:00,0.30326546
2013-11-25 04:00:00,2.096870489
2013-11-25 06:00:00,0.000612857
2013-11-25 08:00:00,0.046263948
2013-11-25 10:00:00,0.462507475
2013-11-25 12:00:00,0.042416913
2013-11-25 14:00:00,1.512787398
2013-11-25 16:00:00,0.114835652
2013-11-25 18:00:00,0.132195638
2013-11-25 20:00:00,0.005463199
2013-11-25 22:00:00,0.184530501
2013-11-26 00:00:00,0.771006675
2013-11-26 02:00:00,0.472782566
2013-11-26 04:00:00,0.070738245
2013-11-26 06:00:00,0.827731608
2013-11-26 08:00:00,0.00031806
2013-11-26 10:00:00,0.002372943
2013-11-26 12:00:00,0.001757881
2013-11-26 14:00:00,0.079457956
2013-11-26 16:00:00,0.643824935
2013-11-26 18:00:00,0.163097861
2013-11-26 20:00:00,1.575793981
2013-11-26 22:00:00,0.019589966
2013-11-27 00:00:00,0.000374349
2013-11-27 02:00:00,0.417680005
2013-11-27 04:00:00,0.001296925
2013-11-27 06:00:00,1.353758784
2013-11-27 08:00:00,0.028693907
2013-11-27 10:00:00,0.007595629
2013-11-27 12:00:00,0.055409576
2013-11-27 14:00:00,0.000959916
2013-11-27 16:00:00,0.000401156
2013-11-27 18:00:00,0.779087929
2013-11-27 20:00:00,0.000258388
2013-11-27 22:00:00,0.004967113
2013-12-14 00:00:00,2.99428E-07
2013-12-14 02:00:00,1.29373E-06
2013-12-14 04:00:00,8.69628E-07
2013-12-14 06:00:00,1.37617E-06
2013-12-14 08:00:00,6.7633E-06
2013-12-14 10:00:00,1.61642E-06
2013-12-14 12:00:00,7.28856E-05
2013-12-14 14:00:00,0
2013-12-14 16:00:00,0
2013-12-14 18:00:00,0
2013-12-14 20:00:00,0
2013-12-14 22:00:00,0.066222045
2013-12-15 00:00:00,0.002821869
2013-12-15 02:00:00,0.316607224
2013-12-15 04:00:00,0.084878575
2013-12-15 06:00:00,0.040971797
2013-12-15 08:00:00,0.013351802
2013-12-15 10:00:00,0.001688966
2013-12-15 12:00:00,0.001664267
2013-12-15 14:00:00,0.001670502
2013-12-15 16:00:00,1.52066E-05
2013-12-15 18:00:00,8.06507E-06
2013-12-15 20:00:00,0.001242408
2013-12-15 22:00:00,0.00082145
2013-12-16 00:00:00,0.023068139
2013-12-16 02:00:00,0.197491266
2013-12-16 04:00:00,1.588187485
2013-12-16 06:00:00,2.009809626
2013-12-16 08:00:00,0.11860838
2013-12-16 10:00:00,9.794278571
2013-12-16 12:00:00,12.22388564
2013-12-16 14:00:00,7.087046708
2013-12-16 16:00:00,9.442932239
2013-12-16 18:00:00,1.516964331
2013-12-16 20:00:00,0.773639016
2013-12-16 22:00:00,0.74484622
2013-12-17 00:00:00,0.787975487
2013-12-17 02:00:00,0.984073964
2013-12-17 04:00:00,0.668961974
2013-12-17 06:00:00,0.897764781
2013-12-17 08:00:00,1.020921527
2013-12-17 10:00:00,0.000310896
2013-12-17 12:00:00,0.001964395
2013-12-17 14:00:00,1.75772E-05
2013-12-17 16:00:00,0.262572567
2013-12-17 18:00:00,1.475851268
2013-12-17 20:00:00,1.178698509
2013-12-17 22:00:00,1.604589373
2014-01-03 00:00:00,0.000628903
2014-01-03 02:00:00,0.001256755
2014-01-03 04:00:00,3.31975E-05
2014-01-03 06:00:00,3.32284E-05
2014-01-03 08:00:00,5.00052E-05
2014-01-03 10:00:00,1.19697E-05
2014-01-03 12:00:00,6.72038E-05
2014-01-03 14:00:00,3.5378E-06
2014-01-03 16:00:00,1.54302E-05
2014-01-03 18:00:00,0.000661367
2014-01-03 20:00:00,1.53594E-05
2014-01-03 22:00:00,1.03934E-06
2014-01-04 00:00:00,9.72387E-07
2014-01-04 02:00:00,3.31022E-05
2014-01-04 04:00:00,3.30763E-05
2014-01-04 06:00:00,0.000275059
2014-01-04 08:00:00,0.00029465
2014-01-04 10:00:00,0.000771162
2014-01-04 12:00:00,0.00067015
2014-01-04 14:00:00,0.000837583
2014-01-04 16:00:00,2.682814609
2014-01-04 18:00:00,11.23971054
2014-01-04 20:00:00,3.355271043
2014-01-04 22:00:00,3.18224E-05
2014-01-05 00:00:00,0.037962593
2014-01-05 02:00:00,0.000759947
2014-01-05 04:00:00,0.000163737
2014-01-05 06:00:00,0.00266069
2014-01-05 08:00:00,0.000292987
2014-01-05 10:00:00,0.000834912
2014-01-05 12:00:00,0.008374974
2014-01-05 14:00:00,2.7093E-06
2014-01-05 16:00:00,4.37743E-05
2014-01-05 18:00:00,7.57674E-06
2014-01-05 20:00:00,1.22953E-06
2014-01-05 22:00:00,3.51095E-07
2014-01-06 00:00:00,3.68898E-06
2014-01-06 02:00:00,1.12644E-05
2014-01-06 04:00:00,4.3555E-05
2014-01-06 06:00:00,5.07208E-05
2014-01-06 08:00:00,0.001656938
2014-01-06 10:00:00,0.001847978
2014-01-06 12:00:00,0.000727558
2014-01-06 14:00:00,0.001441602
2014-01-06 16:00:00,0.00162109
2014-01-06 18:00:00,0.000252167
2014-01-06 20:00:00,0.000169031
2014-01-06 22:00:00,0.001701794
2014-01-23 00:00:00,0.001919712
2014-01-23 02:00:00,2.36070418
2014-01-23 04:00:00,0.002109357
2014-01-23 06:00:00,1.01129E-06
2014-01-23 08:00:00,0.193396186
2014-01-23 10:00:00,1.026663686
2014-01-23 12:00:00,0.027666202
2014-01-23 14:00:00,0.001337698
2014-01-23 16:00:00,0.001572341
2014-01-23 18:00:00,0.002349792
2014-01-23 20:00:00,9.23085E-06
2014-01-23 22:00:00,9.60201E-06
2014-01-24 00:00:00,2.64917E-05
2014-01-24 02:00:00,2.60691E-05
2014-01-24 04:00:00,0.375556749
2014-01-24 06:00:00,9.71722E-05
2014-01-24 08:00:00,0.005411446
2014-01-24 10:00:00,0.495069651
2014-01-24 12:00:00,0.000111464
2014-01-24 14:00:00,0.776919658
2014-01-24 16:00:00,0.981803917
2014-01-24 18:00:00,0.00255685
2014-01-24 20:00:00,0.005551001
2014-01-24 22:00:00,0.062365315
2014-01-25 00:00:00,7.33732E-05
2014-01-25 02:00:00,0.003357948
2014-01-25 04:00:00,4.50046E-07
2014-01-25 06:00:00,2.068341795
2014-01-25 08:00:00,0.000661592
2014-01-25 10:00:00,0.405731265
2014-01-25 12:00:00,0.000143707
2014-01-25 14:00:00,0.019140458
2014-01-25 16:00:00,0.001986124
2014-01-25 18:00:00,1.45553E-06
2014-01-25 20:00:00,1.43008118
2014-01-25 22:00:00,0.497376723
2014-01-26 00:00:00,0.864469724
2014-01-26 02:00:00,8.7533E-06
2014-01-26 04:00:00,5.47229E-07
2014-01-26 06:00:00,0.001289729
2014-01-26 08:00:00,1.150942933
2014-01-26 10:00:00,1.04731235
2014-01-26 12:00:00,0.008647123
2014-01-26 14:00:00,0.889730343
2014-01-26 16:00:00,0.007230597
2014-01-26 18:00:00,6.91547E-05
2014-01-26 20:00:00,1.810979427
